unique_id,gc_switrs_col_pkey,cnn_intrsctn_fkey,cnn_sgmt_fkey,tb_latitude,tb_longitude,geocode_source,geocode_location,case_id_pkey,accident_year,proc_date,juris,collision_date,collision_time,time_cat,officer_id,reporting_district,day_of_week,chp_shift,population,cnty_city_loc,special_cond,beat_type,chp_beat_type,city_division_lapd,chp_beat_class,beat_number,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,state_hwy_ind,caltrans_county,caltrans_district,state_route,route_suffix,postmile_prefix,postmile,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_code_of_viol,pcf_viol_category,pcf_violation,pcf_viol_subsection,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,chp_road_type,pedestrian_accident,bicycle_accident,motorcycle_accident,truck_accident,not_private_property,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,count_bicyclist_killed,count_bicyclist_injured,count_mc_killed,count_mc_injured,primary_ramp,secondary_ramp,latitude_switrs,longitude_switrs,mv_involved,mv_only_one,col_comb,dph_col_type,dph_col_grp,street_view
"187","187",25701000,,37.7664057674624,-122.424258113149,SFPD-CROSSROADS,CITY STREET,"2183907","2005","20051222","3801","20050811","1235",B,"888",MISSI,Thursday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3045C,GUERRERO ST,15TH ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Automobile Right of Way,"21801",A,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7664057674624,-122.424258113149"
"188","188",25474000,,37.8073794581456,-122.407303656328,SFPD-CROSSROADS,CITY STREET,"2183926","2005","20051227","3801","20050803","1650",C,"603",A,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",14D,THE EMBARCADERO N,N POINT,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Felony,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.8073794581456,-122.407303656328"
"189","189",25149000,"8128000",37.7843176231819,-122.417723861775,SFPD-CROSSROADS,CITY STREET,"2186237","2005","20060118","3801","20050823","205",F,"000957",,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",,LARKIN ST,ELLIS ST,30,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Automobile Right of Way,"21804",A,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,"0",No,Yes,No,No,Yes,Yes,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7843176231819,-122.417723861775"
"190","190",23679000,"857000",37.7624693761416,-122.398353413544,SFPD-CROSSROADS,CITY STREET,"2186401","2005","20051220","3801","20050728","1955",D,"1149",COC,Thursday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B7D,18TH ST,ARKANSAS ST,31,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7624693761416,-122.398353413544"
"191","191",26593000,"12132000",37.7824230043319,-122.434216835253,SFPD-CROSSROADS,CITY STREET,"2186425","2005","20051217","3801","20050802","1115",B,"43",NORTH,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3E61",STEINER ST,ELLIS ST,100,North,Not Intersection,Clear,Fog,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Other Hazardous Violation,"22517",,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,Yes,Not Stated,Not Stated or Unknown (Hit and Run),"0","0","1","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7824230043319,-122.434216835253"
"192","192",23823000,"12664000",37.7743828100684,-122.398408405002,SFPD-CROSSROADS,CITY STREET,"2186446","2005","20051217","3801","20050803","1745",C,"4226",SOUTH,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B62,TOWNSEND ST,5TH ST,490,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Starting or Backing,"22106",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7743828100684,-122.398408405002"
"193","193",25182000,,37.785892900731,-122.41973873387,SFPD-CROSSROADS,CITY STREET,"2186449","2005","20051219","3801","20050816","1543",C,"605",,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","003",POLK ST,GEARY ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Traffic Signals and Signs,"21453",A,Felony,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.785892900731,-122.41973873387"
"195","195",24933000,,37.7825850335311,-122.415693873471,SFPD-CROSSROADS,CITY STREET,"2187360","2005","20060112","3801","20050813","2045",D,"1384",3J,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B7G,HYDE ST,TURK ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",Unknown,Not Stated,Unknown,"0",,Misdemeanor,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7825850335311,-122.415693873471"
"197","197",33029000,"549101",37.7695014032138,-122.41339883426,SFPD-CROSSROADS,CITY STREET,"2188629","2005","20060120","3801","20050817","1646",C,"002122",B,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B6D,13TH ST,HARRISON ST,4,West,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Traffic Signals and Signs,"21453",A,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7695014032138,-122.41339883426"
"198","198",24241000,,37.7698150790595,-122.417753193886,SFPD-CROSSROADS,CITY STREET,"2198425","2005","20060106","3801","20050725","1201",B,"001278",SOUTH,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B61,SOUTH VAN NESS AV,13TH ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Automobile Right of Way,"21453",B,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,"Passenger Car, Station Wagon, or Jeep","0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7698150790595,-122.417753193886"
"199","199",27204000,,37.7752397639859,-122.458435272718,SFPD-CROSSROADS,CITY STREET,"2226605","2005","20060121","3801","20050826","849",A,"334",COG,Friday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","002",ARGUELLO BL,MCALLISTER ST,0,"Not Stated, in Intersection",Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Improper Turning,"22107",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Not Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7752397639859,-122.458435272718"
"201","201",23802000,"3072000",37.7825410877059,-122.391198059348,SFPD-CROSSROADS,CITY STREET,"2229995","2005","20060118","3801","20050824","1830",D,"1236",SOUTH,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",03B,BRANNAN,2ND ST,359,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Other Hazardous Violation,"21657",,Not Hit and Run,Head-On,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7825410877059,-122.391198059348"
"202","202",27475000,,37.7787280214707,-122.47217361799,SFPD-CROSSROADS,CITY STREET,"2232011","2005","20051118","3801","20050601","1340",B,"1054",G,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","004",PARK PRESIDIO BL,ANZA ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,State Highway,SF,"4","1","-","-",5.38,Intersection,Intersection,Southbound,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Automobile Right of Way,"21801",A,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7787280214707,-122.47217361799"
"203","203",21330000,"9135000",37.7430050149344,-122.421561543563,SFPD-CROSSROADS,CITY STREET,"2232272","2005","20060131","3801","20050903","1325",B,"373",,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",0H1,MISSION ST,VIRGINIA ST,48,South,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Other Hazardous Violation,"22517",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"0","0","1","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7430050149344,-122.421561543563"
"204","204",26594000,,37.7841518635849,-122.434562099376,SFPD-CROSSROADS,CITY STREET,"2232296","2005","20060131","3801","20050905","1320",B,"43",,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3E61",GEARY BL,STEINER ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,Yes,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Traffic Signals and Signs,"21453",A,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7841518635849,-122.434562099376"
"205","205",25524000,,37.8054171720975,-122.415241485487,SFPD-CROSSROADS,CITY STREET,"2232304","2005","20060110","3801","20050813","1340",B,"1644",CENTR,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4T9A,BAY ST,TAYLOR,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,,Injury (Severe),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Lane Change,"21658",A,Felony,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"1","0","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.8054171720975,-122.415241485487"
"206","206",25301000,"10571000",37.7921238725488,-122.421000351592,SFPD-CROSSROADS,CITY STREET,"2232312","2005","20060109","3801","20050825","1640",C,"1410",NORT,Thursday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","004",POLK ST,CLAY ST,96,South,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Other Hazardous Violation,"22517",,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","0","1","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7921238725488,-122.421000351592"
"207","207",22101000,,37.7249882974165,-122.443065876148,SFPD-CROSSROADS,CITY STREET,"2232315","2005","20060207","3801","20050904","315",F,"1653",3H15E,Sunday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",COH,SAN JOSE AV,SGT JOHN V YOUNG LN,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","1",(Vehicle) Code Violation,Not Stated,Not Stated,"0",,Not Hit and Run,Other,Fixed Object,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,"0",No,Yes,No,No,Yes,No,Bicycle,,"0","1","0","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7249882974165,-122.443065876148"
"210","210",33273000,,37.7252351118835,-122.402600411673,SFPD-CROSSROADS,CITY STREET,"2238669","2005","20060210","3801","20050913","700",A,"000274",BAY V,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3C63,SAN BRUNO AV,WOOLSEY ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Automobile Right of Way,"21801",A,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7252351118835,-122.402600411673"
"211","211",24183000,"13060000",37.7634448143264,-122.421745413872,SFPD-CROSSROADS,CITY STREET,"2238673","2005","20060210","3801","20050910","1945",D,"140",MISSI,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3011D,VALENCIA ST,17TH ST,53,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",Other Than Driver,Not Stated,Other Than Driver (or Pedestrian),"0",,Not Hit and Run,Vehicle/Pedestrian,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,None,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7634448143264,-122.421745413872"
"212","212",25698000,,37.764783452499,-122.424102683943,SFPD-CROSSROADS,CITY STREET,"2238730","2005","20060210","3801","20050906","1738",C,"2063",D,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3D1",16TH ST,GUERRERO ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Non-Collision,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.764783452499,-122.424102683943"
"213","213",20668000,"7895000",37.7392075543635,-122.391794668699,SFPD-CROSSROADS,CITY STREET,"2238738","2005","20060210","3801","20050906","1730",C,"821",CO C,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B8F,KIRKWOOD,PHELPS ST,13,East,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,,"0","0","1","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7392075543635,-122.391794668699"
"214","214",30745000,"8752101",37.7781503061464,-122.415383523049,SFPD-CROSSROADS,CITY STREET,"2238739","2005","20060210","3801","20050906","1300",B,"1529",COJ,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3J62,MARKET ST,8TH ST,278,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",Unknown,Not Stated,Unknown,"0",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7781503061464,-122.415383523049"
"215","215",27577000,"3578000",37.785522231882,-122.46043606478,SFPD-CROSSROADS,CITY STREET,"2238762","2005","20060210","3801","20050906","1030",B,"625",G,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B4G,CALIFORNIA ST,2ND AV,37,West,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,Yes,Injury (Severe),"0","1","2",(Vehicle) Code Violation,Not Stated,Other Hazardous Violation,"22517",,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"1","0","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.785522231882,-122.46043606478"
"216","216",25962000,,37.7811171272783,-122.427202755616,SFPD-CROSSROADS,CITY STREET,"2238786","2005","20060210","3801","20050903","2055",D,"680",COE,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3E30",TURK,LAGUNA,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Traffic Signals and Signs,"21453",A,Felony,Not Stated,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7811171272783,-122.427202755616"
"217","217",24326000,"6260000",37.7820064201776,-122.412743444115,SFPD-CROSSROADS,CITY STREET,"2238790","2005","20060210","3801","20050906","1716",C,"1529",COJ,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3J62,GOLDEN GATE AV,JONES ST,153,West,Not stated,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","3",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 3 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7820064201776,-122.412743444115"
"218","218",24461000,,37.778020760958,-122.421520698543,SFPD-CROSSROADS,CITY STREET,"2238800","2005","20060211","3801","20050916","1035",B,"000779",NORTH,Friday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3E62",FRANKLIN ST,GROVE ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Improper Turning,"22107",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,"Passenger Car, Station Wagon, or Jeep","0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.778020760958,-122.421520698543"
"219","219",26006000,"11681000",37.7691219036361,-122.434894836371,SFPD-CROSSROADS,CITY STREET,"2251084","2005","20060209","3801","20050914","1142",B,"1693","3D1",Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",MISSIO,SCOTT ST,DUBOCE ST,3,North,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,Yes,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Felony,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7691219036361,-122.434894836371"
"220","220",27154000,"432000",37.7638722770499,-122.466299114956,SFPD-CROSSROADS,CITY STREET,"2252616","2005","20060225","3801","20050914","815",A,"1629",TARAV,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3I1,9TH AV,IRVING ST,60,South,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,Yes,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7638722770499,-122.466299114956"
"221","221",23987000,,37.7525727563787,-122.412995174457,SFPD-CROSSROADS,CITY STREET,"2252649","2005","20060225","3801","20050919","2000",D,"1954",D,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3D4",E 24TH ST,TREAT AV,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Traffic Signals and Signs,"22450",A,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7525727563787,-122.412995174457"
